Mon May  3 07:34:29 2021    data/20210503-07:34:09-10-cprofile/pocket-client-0002.cprofile

         105930 function calls (102626 primitive calls) in 1.673 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    481/1    0.013    0.000    1.674    1.674 {built-in method builtins.exec}
        1    0.000    0.000    1.674    1.674 app.pocket.py:3(<module>)
        9    0.792    0.088    0.792    0.088 {method 'receive' of 'sysv_ipc.MessageQueue' objects}
        1    0.000    0.000    0.471    0.471 app.pocket.py:53(resize_image)
        1    0.000    0.000    0.456    0.456 /root/tfrpc/client/yolo_msgq.py:880(tf_image_resize)
        1    0.000    0.000    0.446    0.446 /root/tfrpc/client/yolo_msgq.py:128(get_instance)
        1    0.000    0.000    0.446    0.446 /root/tfrpc/client/yolo_msgq.py:196(__init__)
        1    0.000    0.000    0.442    0.442 /root/tfrpc/client/yolo_msgq.py:233(conn)
    191/3    0.001    0.000    0.441    0.147 <frozen importlib._bootstrap>:966(_find_and_load)
    191/3    0.001    0.000    0.441    0.147 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    182/3    0.001    0.000    0.440    0.147 <frozen importlib._bootstrap>:651(_load_unlocked)
    142/3    0.001    0.000    0.440    0.147 <frozen importlib._bootstrap_external>:672(exec_module)
    271/3    0.000    0.000    0.438    0.146 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.426    0.426 /root/tfrpc/client/yolo_msgq.py:75(deduct_resource)
        1    0.000    0.000    0.426    0.426 /root/tfrpc/client/yolo_msgq.py:94(set_resource)
        1    0.426    0.426    0.426    0.426 {method 'recv' of '_socket.socket' objects}
        1    0.000    0.000    0.415    0.415 /usr/local/lib/python3.6/dist-packages/numpy/__init__.py:106(<module>)
  875/117    0.001    0.000    0.397    0.003 <frozen importlib._bootstrap>:997(_handle_fromlist)
   323/13    0.000    0.000    0.396    0.030 {built-in method builtins.__import__}
        1    0.000    0.000    0.315    0.315 /usr/local/lib/python3.6/dist-packages/numpy/core/__init__.py:7(<module>)
        1    0.000    0.000    0.306    0.306 /root/tfrpc/client/pocket_tf_if.py:229(__call__)
        1    0.000    0.000    0.306    0.306 /root/tfrpc/client/yolo_msgq.py:137(delegate_tf_callable)
        1    0.000    0.000    0.306    0.306 /root/tfrpc/client/yolo_msgq.py:325(tf_callable)
      142    0.001    0.000    0.257    0.002 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.000    0.000    0.228    0.228 /usr/local/lib/python3.6/dist-packages/numpy/core/multiarray.py:7(<module>)
        1    0.000    0.000    0.225    0.225 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:1(<module>)
      142    0.001    0.000    0.218    0.002 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      142    0.217    0.002    0.217    0.002 {built-in method marshal.loads}
        1    0.000    0.000    0.214    0.214 /usr/local/lib/python3.6/dist-packages/numpy/compat/__init__.py:10(<module>)
        1    0.000    0.000    0.213    0.213 /usr/local/lib/python3.6/dist-packages/numpy/compat/py3k.py:12(<module>)
        1    0.000    0.000    0.206    0.206 /usr/lib/python3.6/pathlib.py:1(<module>)
        1    0.000    0.000    0.052    0.052 /usr/local/lib/python3.6/dist-packages/numpy/core/_internal.py:6(<module>)
        1    0.000    0.000    0.044    0.044 /usr/local/lib/python3.6/dist-packages/numpy/lib/__init__.py:13(<module>)
      316    0.001    0.000    0.037    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:166(decorator)
      142    0.028    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      188    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      155    0.001    0.000    0.025    0.000 /usr/lib/python3.6/re.py:286(_compile)
       44    0.000    0.000    0.024    0.001 /usr/lib/python3.6/re.py:231(compile)
       42    0.000    0.000    0.024    0.001 /usr/lib/python3.6/sre_compile.py:557(compile)
      170    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      170    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
  182/179    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.022    0.022 /usr/lib/python3.6/platform.py:10(<module>)
      316    0.022    0.000    0.022    0.000 {built-in method builtins.compile}
      329    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.020    0.020 /root/tfrpc/client/yolo_msgq.py:1(<module>)
  385/370    0.009    0.000    0.019    0.000 {built-in method builtins.__build_class__}
