Mon May  3 09:17:31 2021    data/20210503-09:17:02-10-cprofile/pocket-client-0006.cprofile

         105930 function calls (102626 primitive calls) in 1.336 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.594    0.066    0.594    0.066 {method 'receive' of 'sysv_ipc.MessageQueue' objects}
       22    0.295    0.013    0.397    0.018 {built-in method _imp.create_dynamic}
      142    0.099    0.001    0.099    0.001 {built-in method marshal.loads}
        1    0.096    0.096    0.096    0.096 /usr/lib/python3.6/datetime.py:1034(time)
        1    0.062    0.062    0.062    0.062 {method 'recv' of '_socket.socket' objects}
      316    0.021    0.000    0.021    0.000 {built-in method builtins.compile}
    481/1    0.011    0.000    1.338    1.338 {built-in method builtins.exec}
  385/370    0.008    0.000    0.115    0.000 {built-in method builtins.__build_class__}
      704    0.006    0.000    0.006    0.000 {built-in method posix.stat}
      170    0.004    0.000    0.004    0.000 {built-in method _imp.is_frozen}
      329    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      142    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      612    0.003    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:65(getargs)
        1    0.003    0.003    0.003    0.003 /root/tfrpc/client/pocket_tf_if.py:25(__init__)
   125/45    0.003    0.000    0.008    0.000 /usr/lib/python3.6/sre_parse.py:470(_parse)
        1    0.003    0.003    0.005    0.005 app.pocket.py:36(load_classes)
      142    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
     5280    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      142    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
   251/42    0.002    0.000    0.010    0.000 /usr/lib/python3.6/sre_compile.py:64(_compile)
     9121    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     3267    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      939    0.002    0.000    0.006    0.000 /usr/lib/python3.6/enum.py:803(__and__)
      353    0.002    0.000    0.003    0.000 /usr/lib/python3.6/functools.py:44(update_wrapper)
     2096    0.002    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:517(__new__)
     1716    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
       13    0.002    0.000    0.005    0.000 /usr/lib/python3.6/enum.py:124(__new__)
     1716    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      286    0.002    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:72(verify_matching_signatures)
    22/17    0.002    0.000    0.010    0.001 {built-in method _imp.exec_dynamic}
     2103    0.002    0.000    0.008    0.000 /usr/lib/python3.6/enum.py:267(__call__)
      188    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      808    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x9d12c0}
      838    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       97    0.001    0.000    0.002    0.000 /usr/lib/python3.6/sre_compile.py:250(_optimize_charset)
        1    0.001    0.001    0.001    0.001 /usr/lib/python3.6/datetime.py:1381(datetime)
      501    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      284    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      316    0.001    0.000    0.036    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:166(decorator)
      501    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      142    0.001    0.000    0.113    0.001 <frozen importlib._bootstrap_external>:743(get_code)
    191/3    0.001    0.000    0.666    0.222 <frozen importlib._bootstrap>:966(_find_and_load)
     1408    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:232(__next)
  875/117    0.001    0.000    0.619    0.005 <frozen importlib._bootstrap>:997(_handle_fromlist)
      182    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      616    0.001    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:96(getargspec)
      501    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      170    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
    182/3    0.001    0.000    0.665    0.222 <frozen importlib._bootstrap>:651(_load_unlocked)
  422/213    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:173(getwidth)
     3719    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1857    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1024    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
    191/3    0.001    0.000    0.666    0.222 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     2275    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       15    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:1466(_guarded_repr_or_str)
      188    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     2017    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1044    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1065    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:163(__getitem__)
     4606    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       18    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      207    0.001    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:70(__setitem__)
       22    0.001    0.000    0.013    0.001 /usr/lib/python3.6/collections/__init__.py:357(namedtuple)
3729/3602    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      164    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      155    0.001    0.000    0.024    0.000 /usr/lib/python3.6/re.py:286(_compile)
