Mon May  3 09:11:19 2021    data/20210503-09:10:54-5-cprofile/pocket-server-001.cprofile

         1388125 function calls (1322899 primitive calls) in 20.726 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17   18.192    1.070   18.192    1.070 {method 'acquire' of '_thread.lock' objects}
       99    0.465    0.005    0.469    0.005 {built-in method _imp.create_dynamic}
     2370    0.242    0.000    0.242    0.000 {built-in method marshal.loads}
3503/3452    0.159    0.000    0.271    0.000 {built-in method builtins.__build_class__}
   3056/1    0.145    0.000   20.739   20.739 {built-in method builtins.exec}
  2958/19    0.108    0.000    2.544    0.134 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    11672    0.084    0.000    0.084    0.000 {built-in method posix.stat}
     2370    0.046    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:830(get_data)
85584/84672    0.038    0.000    0.051    0.000 {built-in method builtins.hasattr}
        1    0.035    0.035    0.035    0.035 {built-in method posix.mkdir}
     4740    0.033    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     3413    0.031    0.000    0.175    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     2370    0.028    0.000    0.028    0.000 {method 'read' of '_io.FileIO' objects}
     1741    0.022    0.000    0.061    0.000 /usr/lib/python3.6/inspect.py:2102(_signature_from_function)
     2939    0.021    0.000    0.238    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     2370    0.021    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     1715    0.020    0.000    0.095    0.000 /usr/lib/python3.6/inspect.py:1089(getfullargspec)
      317    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
37880/1490    0.019    0.000    2.295    0.002 <frozen importlib._bootstrap>:997(_handle_fromlist)
    44447    0.019    0.000    0.019    0.000 {built-in method builtins.getattr}
 1049/217    0.017    0.000    0.048    0.000 /usr/lib/python3.6/sre_parse.py:470(_parse)
    20139    0.017    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     2370    0.017    0.000    0.410    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     6394    0.017    0.000    0.024    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     5817    0.015    0.000    0.015    0.000 {built-in method __new__ of type object at 0x9d12c0}
  3005/19    0.015    0.000    2.544    0.134 <frozen importlib._bootstrap>:966(_find_and_load)
    20139    0.014    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       98    0.014    0.000    0.014    0.000 {method 'AddSerializedFile' of 'google.protobuf.pyext._message.DescriptorPool' objects}
78202/78201    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
     8370    0.013    0.000    0.022    0.000 /usr/lib/python3.6/inspect.py:2452(__init__)
     2492    0.013    0.000    0.072    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     6394    0.013    0.000    0.014    0.000 <frozen importlib._bootstrap>:78(acquire)
     3606    0.013    0.000    0.019    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_export.py:283(_validate_symbol_names)
     1772    0.012    0.000    0.025    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_decorator.py:67(make_decorator)
 2116/206    0.012    0.000    0.047    0.000 /usr/lib/python3.6/sre_compile.py:64(_compile)
  2509/19    0.012    0.000    2.541    0.134 <frozen importlib._bootstrap>:651(_load_unlocked)
      427    0.012    0.000    0.012    0.000 {built-in method posix.listdir}
    99/77    0.011    0.000    0.090    0.001 {built-in method _imp.exec_dynamic}
     6394    0.011    0.000    0.012    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.010    0.010    0.010    0.010 {built-in method _pywrap_tensorflow_internal.TF_LoadLibrary}
    21093    0.010    0.000    0.024    0.000 /usr/lib/python3.6/enum.py:267(__call__)
     6657    0.010    0.000    0.010    0.000 {method 'format' of 'str' objects}
2917/2916    0.009    0.000    0.199    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
27560/27488    0.009    0.000    0.013    0.000 {method 'join' of 'str' objects}
     6986    0.008    0.000    0.022    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_decorator.py:200(unwrap)
    51579    0.008    0.000    0.008    0.000 {method 'rstrip' of 'str' objects}
     3606    0.008    0.000    0.030    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_export.py:255(__init__)
     2469    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     1741    0.008    0.000    0.013    0.000 /usr/lib/python3.6/inspect.py:2732(__init__)
    21079    0.008    0.000    0.009    0.000 /usr/lib/python3.6/enum.py:517(__new__)
      833    0.008    0.000    0.011    0.000 /usr/lib/python3.6/sre_compile.py:250(_optimize_charset)
    22584    0.008    0.000    0.008    0.000 /usr/lib/python3.6/sre_parse.py:232(__next)
     3502    0.007    0.000    0.027    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_export.py:312(__call__)
21917/21913    0.007    0.000    0.008    0.000 {built-in method builtins.setattr}
     5883    0.007    0.000    0.019    0.000 /usr/lib/python3.6/enum.py:803(__and__)
      362    0.007    0.000    0.153    0.000 /usr/lib/python3.6/collections/__init__.py:357(namedtuple)
    18117    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      235    0.007    0.000    0.013    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/decorator_utils.py:35(_normalize_docstring)
        2    0.007    0.003    0.007    0.003 {built-in method posix.read}
    20902    0.006    0.000    0.006    0.000 {method 'rpartition' of 'str' objects}
     1741    0.006    0.000    0.069    0.000 /usr/lib/python3.6/inspect.py:2183(_signature_from_callable)
  2370/18    0.006    0.000    2.540    0.141 <frozen importlib._bootstrap_external>:672(exec_module)
     2492    0.006    0.000    0.013    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2370    0.006    0.000    0.253    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
    57892    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    36033    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
    11465    0.006    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
47939/46842    0.006    0.000    0.006    0.000 {built-in method builtins.len}
     1751    0.006    0.000    0.012    0.000 /usr/lib/python3.6/functools.py:44(update_wrapper)
     5682    0.006    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
    19141    0.006    0.000    0.012    0.000 /usr/lib/python3.6/sre_parse.py:253(get)
2492/2488    0.005    0.000    0.551    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     6519    0.005    0.000    0.011    0.000 {built-in method builtins.any}
     1956    0.005    0.000    0.005    0.000 {built-in method tensorflow_core.python._tf_stack.extract_stack}
 1994/198    0.005    0.000    2.419    0.012 {built-in method builtins.__import__}
     3121    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:176(cb)
      484    0.005    0.000    0.026    0.000 /usr/lib/python3.6/abc.py:132(__new__)
     2467    0.005    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
     4740    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
        2    0.005    0.002    0.005    0.002 {built-in method _posixsubprocess.fork_exec}
     3387    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     2469    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
3322/1433    0.004    0.000    0.006    0.000 /usr/lib/python3.6/sre_parse.py:173(getwidth)
    25288    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    10062    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:847(__exit__)
     8776    0.004    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_decorator.py:114(_has_tf_decorator_attr)
     4837    0.004    0.000    0.048    0.000 <frozen importlib._bootstrap>:403(cached)
     8840    0.004    0.000    0.006    0.000 /usr/lib/python3.6/sre_parse.py:163(__getitem__)
     3121    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:58(__init__)
    10111    0.004    0.000    0.005    0.000 /usr/lib/python3.6/inspect.py:2781(<genexpr>)
     1245    0.003    0.000    0.112    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_export.py:383(kwarg_only)
     1772    0.003    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_decorator.py:236(__init__)
       60    0.003    0.000    0.010    0.000 /usr/lib/python3.6/enum.py:124(__new__)
     1324    0.003    0.000    0.093    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_inspect.py:98(getargspec)
     1518    0.003    0.000    0.003    0.000 /usr/lib/python3.6/_weakrefset.py:36(__init__)
     3007    0.003    0.000    0.027    0.000 <frozen importlib._bootstrap>:147(__enter__)
     7004    0.003    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_export.py:338(set_attr)
     1245    0.003    0.000    0.116    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/framework/ops.py:6584(to_raw_op)
     2370    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
    10062    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:843(__enter__)
     1324    0.003    0.000    0.085    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_inspect.py:55(_getargspec)
     1715    0.003    0.000    0.102    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_inspect.py:238(getfullargspec)
     5339    0.003    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      320    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
