Sun May  2 02:25:54 2021    pocket-client-0005.cprofile

         173839 function calls (168867 primitive calls) in 6.680 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    5.826    0.077    5.826    0.077 {method 'receive' of 'sysv_ipc.MessageQueue' objects}
      253    0.133    0.001    0.133    0.001 {built-in method marshal.loads}
       30    0.122    0.004    0.129    0.004 {built-in method _imp.create_dynamic}
     3951    0.094    0.000    0.094    0.000 {method 'join' of 'str' objects}
      506    0.089    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
        1    0.062    0.062    0.062    0.062 {method 'recv' of '_socket.socket' objects}
     1262    0.027    0.000    0.027    0.000 {built-in method posix.stat}
      316    0.025    0.000    0.025    0.000 {built-in method builtins.compile}
  905/889    0.020    0.000    0.059    0.000 {built-in method builtins.__build_class__}
    600/1    0.016    0.000    6.682    6.682 {built-in method builtins.exec}
      583    0.008    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     1380    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x9d12c0}
      253    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:830(get_data)
    10461    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
    17017    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
     3088    0.004    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      253    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
    30/22    0.004    0.000    0.053    0.002 {built-in method _imp.exec_dynamic}
      253    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     3088    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     5004    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
1720/1622    0.004    0.000    0.005    0.000 /usr/lib/python3.6/typing.py:1164(__setattr__)
      338    0.003    0.000    0.064    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      209    0.003    0.000    0.018    0.000 /usr/lib/python3.6/abc.py:132(__new__)
      132    0.003    0.000    0.022    0.000 /usr/lib/python3.6/typing.py:922(__new__)
        1    0.003    0.003    0.003    0.003 /root/tfrpc/client/pocket_tf_if.py:25(__init__)
       26    0.003    0.000    0.008    0.000 /usr/lib/python3.6/enum.py:124(__new__)
   130/45    0.003    0.000    0.009    0.000 /usr/lib/python3.6/sre_parse.py:470(_parse)
        1    0.003    0.003    0.021    0.021 /root/tfrpc/client/yolo_pb2.py:4(<module>)
       99    0.003    0.000    0.004    0.000 /usr/lib/python3.6/sre_compile.py:250(_optimize_charset)
      612    0.003    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:65(getargs)
      506    0.003    0.000    0.187    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      787    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      253    0.003    0.000    0.252    0.001 <frozen importlib._bootstrap_external>:743(get_code)
    341/6    0.003    0.000    0.769    0.128 <frozen importlib._bootstrap>:966(_find_and_load)
   251/43    0.002    0.000    0.012    0.000 /usr/lib/python3.6/sre_compile.py:64(_compile)
      787    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
  318/317    0.002    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      304    0.002    0.000    0.098    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      972    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      373    0.002    0.000    0.004    0.000 /usr/lib/python3.6/functools.py:44(update_wrapper)
       77    0.002    0.000    0.002    0.000 /usr/lib/python3.6/json/encoder.py:204(iterencode)
    305/7    0.002    0.000    0.767    0.110 <frozen importlib._bootstrap>:651(_load_unlocked)
      929    0.002    0.000    0.005    0.000 /usr/lib/python3.6/enum.py:803(__and__)
     6686    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      787    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
 1216/129    0.002    0.000    0.716    0.006 <frozen importlib._bootstrap>:997(_handle_fromlist)
      286    0.002    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:72(verify_matching_signatures)
    341/6    0.002    0.000    0.768    0.128 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     3277    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2072    0.002    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:517(__new__)
       67    0.002    0.000    2.737    0.041 /root/tfrpc/client/yolo_msgq.py:358(object_slicer)
      682    0.002    0.000    0.002    0.000 /usr/lib/python3.6/_weakrefset.py:36(__init__)
     2085    0.002    0.000    0.011    0.000 /usr/lib/python3.6/enum.py:267(__call__)
      316    0.002    0.000    0.041    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:166(decorator)
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       76    0.001    0.000    0.001    0.000 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
      283    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     1457    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:232(__next)
